d_bad_ms,voi_ms_per_token,k_blind,k_good,k_bad
346.0,1.5186876747012974,8,3,13
347.0,1.5208009918640037,8,3,13
348.0,1.52291430902671,8,3,13
349.0,1.525027626189413,8,3,13
350.0,1.5271409433521193,8,3,13
351.0,1.5292542605148256,8,3,13
352.0,1.531367577677532,8,3,13
353.0,1.5334808948402383,8,3,13
354.0,1.535594212002941,8,3,13
355.0,1.537707529165651,8,3,13
356.0,1.5398208463283574,8,3,13
357.0,1.542044043420983,8,3,14
358.0,1.5442808606907903,8,3,14
359.0,1.5465176779605976,8,3,14
360.0,1.5487544952304049,8,3,14
361.0,1.5509913125002122,8,3,14
362.0,1.553228129770023,8,3,14
363.0,1.5554649470398338,8,3,14
364.0,1.5577017643096376,8,3,14
365.0,1.5599385815794449,8,3,14
366.0,1.5621753988492522,8,3,14
367.0,1.5644122161190666,8,3,14
368.0,1.5666490333888738,8,3,14
369.0,1.5688858506586776,8,3,14
370.0,1.5711226679284849,8,3,14
371.0,1.5733594851982922,8,3,14
372.0,1.5755963024681066,8,3,14
373.0,1.5778331197379138,8,3,14
374.0,1.5800699370077176,8,3,14
375.0,1.5823067542775249,8,3,14
376.0,1.5845435715473357,8,3,14
377.0,1.5867803888171466,8,3,14
378.0,1.5890172060869538,8,3,14
379.0,1.5912540233567576,8,3,14
380.0,1.5934908406265684,8,3,14
381.0,1.5957276578963757,8,3,14
382.0,1.5979644751661866,8,3,14
383.0,1.6002012924359938,8,3,14
384.0,1.6024381097058047,8,3,14
385.0,1.6046749269756084,8,3,14
386.0,1.6069117442454157,8,3,14
387.0,1.6091485615152266,8,3,14
388.0,1.6113853787850339,8,3,14
389.0,1.6136221960548447,8,3,14
390.0,1.6158590133246484,8,3,14
391.0,1.6180958305944557,8,3,14
392.0,1.6203326478642666,8,3,14
393.0,1.6225694651340739,8,3,14
394.0,1.6248062824038847,8,3,14
395.0,1.6270430996736884,8,3,14
396.0,1.6292799169434957,8,3,14
397.0,1.6315167342133066,8,3,14
398.0,1.6337535514831139,8,3,14
399.0,1.6359903687529247,8,3,14
400.0,1.6382271860227284,8,3,14
401.0,1.6404640032925357,8,3,14
402.0,1.6427008205623466,8,3,14
403.0,1.6449376378321539,8,3,14
404.0,1.6471744551019647,8,3,14
405.0,1.6494112723717684,8,3,14
406.0,1.6516480896415722,8,3,14
407.0,1.6538849069113866,8,3,14
408.0,1.6561217241811903,8,3,14
409.0,1.6583585414510047,8,3,14
410.0,1.6605953587208084,8,3,14
411.0,1.6628321759906122,8,3,14
412.0,1.6650689932604266,8,3,14
413.0,1.6673058105302303,8,3,14
414.0,1.6695426278000447,8,3,14
415.0,1.6717794450698484,8,3,14
416.0,1.6740162623396557,8,3,14
417.0,1.6762530796094666,8,3,14
418.0,1.678489896879281,8,3,14
419.0,1.6807267141490847,8,3,14
420.0,1.682963531418892,8,3,14
421.0,1.6852003486886922,8,3,14
422.0,1.6874371659585101,8,3,14
423.0,1.6896739832283174,8,3,14
424.0,1.6919108004981247,8,3,14
425.0,1.6941476177679284,8,3,14
426.0,1.6963844350377428,8,3,14
427.0,1.6986212523075466,8,3,14
428.0,1.700858069577361,8,3,14
429.0,1.7030948868471647,8,3,14
430.0,1.705331704116972,8,3,14
431.0,1.7075685213867793,8,3,14
432.0,1.7098053386565937,8,3,14
433.0,1.7120421559263974,8,3,14
434.0,1.7142789731962083,8,3,14
435.0,1.7165157904660049,8,3,14
436.0,1.7187526077358228,8,3,14
437.0,1.7209894250056266,8,3,14
438.0,1.7232262422754374,8,3,14
439.0,1.7254630595452483,8,3,14
440.0,1.727699876815052,8,3,14
441.0,1.7299366940848628,8,3,14
442.0,1.7321735113546737,8,3,14
443.0,1.7344103286244774,8,3,14
444.0,1.7366471458942883,8,3,14
445.0,1.738883963164085,8,3,14
446.0,1.7411207804339028,8,3,14
447.0,1.7433575977037066,8,3,14
448.0,1.7455944149735174,8,3,14
449.0,1.7478312322433283,8,3,14
450.0,1.750068049513132,8,3,14
451.0,1.7523048667829428,8,3,14
452.0,1.7545416840527537,8,3,14
453.0,1.7567785013225574,8,3,14
454.0,1.7590153185923683,8,3,14
455.0,1.761252135862165,8,3,14
456.0,1.7634889531319828,8,3,14
457.0,1.7657257704017866,8,3,14
458.0,1.7679625876715974,8,3,14
459.0,1.7701994049414083,8,3,14
460.0,1.772436222211212,8,3,14
461.0,1.7746730394810228,8,3,14
462.0,1.7769098567508337,8,3,14
463.0,1.7791466740206374,8,3,14
464.0,1.7813834912904483,8,3,14
465.0,1.783620308560245,8,3,14
466.0,1.7858571258300628,8,3,14
467.0,1.7880939430998666,8,3,14
468.0,1.7903307603696774,8,3,14
469.0,1.7925675776394883,8,3,14
470.0,1.794804394909292,8,3,14
471.0,1.7970412121791028,8,3,14
472.0,1.7992780294489137,8,3,14
473.0,1.8015148467187174,8,3,14
474.0,1.8037516639885283,8,3,14
475.0,1.805988481258325,8,3,14
476.0,1.8082252985281428,8,3,14
477.0,1.8104621157979466,8,3,14
478.0,1.8126989330677574,8,3,14
479.0,1.8149357503375683,8,3,14
480.0,1.817172567607372,8,3,14
481.0,1.8194093848771828,8,3,14
482.0,1.8216462021469937,8,3,14
483.0,1.8238830194167974,8,3,14
484.0,1.8261198366866083,8,3,14
485.0,1.828356653956405,8,3,14
486.0,1.8305934712262228,8,3,14
487.0,1.8328302884960266,8,3,14
488.0,1.834306347483988,9,3,14
489.0,1.8357642535074206,9,3,14
490.0,1.8372221595308318,9,3,14
491.0,1.8386800655542572,9,3,14
492.0,1.8401379715776827,9,3,14
493.0,1.841595877601101,9,3,14
494.0,1.8430537836245264,9,3,14
495.0,1.8445116896479377,9,3,14
496.0,1.845969595671363,9,3,14
497.0,1.8474275016947885,9,3,14
498.0,1.8488854077182069,9,3,14
499.0,1.8503433137416394,9,3,14
500.0,1.8518012197650577,9,3,14
